"","Title","Developer","Publisher","Region","Release","Date","Month","Year","System","Generation"
"1","3 Ninjas Kick Back","Malibu Interactive","Sony Imagesoft","North_America","June 19, 1994",1994-06-19,6,1994,"SNES","4th"
"2","3×3 Eyes Juuma Houkan","System Supply N-Tech","Banpresto","Japan","December 22, 1995",1995-12-22,12,1995,"SNES","4th"
"3","3×3 Eyes Seima Kourin-den","Nova Games","Yutaka","Japan","July 28, 1992",1992-07-28,7,1992,"SNES","4th"
"4","3rd Super Robot Wars","Banpresto","Banpresto","Japan","July 23, 1993",1993-07-23,7,1993,"SNES","4th"
"5","4 Nin Shougi","Planning Office Wada","Planning Office Wada","Japan","July 14, 1995",1995-07-14,7,1995,"SNES","4th"
"6","4th Super Robot Wars","Banpresto","Banpresto","Japan","March 17, 1995",1995-03-17,3,1995,"SNES","4th"
"7","90 Minutes European Prime Goal / J.League Soccer Prime Goal 3JP","Namco","Namco (JP) / Ocean Software (EU)","Japan","August 4, 1995",1995-08-04,8,1995,"SNES","4th"
"8","90 Minutes European Prime Goal / J.League Soccer Prime Goal 3JP","Namco","Namco (JP) / Ocean Software (EU)","PAL","December 20, 1995",1995-12-20,12,1995,"SNES","4th"
"9","A.S.P. Air Strike Patrol / Desert Fighter (EU) / Desert Fighter: Suna no Arashi Sakusen (JP)","SETA","SETA (JP/NA) / System 3 (EU)","Japan","September 1994",NA,9,1994,"SNES","4th"
"10","A.S.P. Air Strike Patrol / Desert Fighter (EU) / Desert Fighter: Suna no Arashi Sakusen (JP)","SETA","SETA (JP/NA) / System 3 (EU)","North_America","February 18, 1994",1994-02-18,2,1994,"SNES","4th"
"11","A.S.P. Air Strike Patrol / Desert Fighter (EU) / Desert Fighter: Suna no Arashi Sakusen (JP)","SETA","SETA (JP/NA) / System 3 (EU)","PAL","January 1, 1995",1995-01-01,1,1995,"SNES","4th"
"12","Aaahh!!! Real Monsters","Realtime Associates","Viacom New Media","North_America","August 15, 1995",1995-08-15,8,1995,"SNES","4th"
"13","Aaahh!!! Real Monsters","Realtime Associates","Viacom New Media","PAL","1995",NA,NA,1995,"SNES","4th"
"14","ABC Monday Night Football / ABC Mande Naito Futtoboru (JP)","Data East / Kuusoukagaku","Data East","Japan","November 26, 1993",1993-11-26,11,1993,"SNES","4th"
"15","ABC Monday Night Football / ABC Mande Naito Futtoboru (JP)","Data East / Kuusoukagaku","Data East","North_America","December 7, 1993",1993-12-07,12,1993,"SNES","4th"
"16","Accele Brid","Tomy","Tomy","Japan","November 26, 1993",1993-11-26,11,1993,"SNES","4th"
"17","ACME Animation Factory","Probe Software","Sunsoft","North_America","November 5, 1994",1994-11-05,11,1994,"SNES","4th"
"18","ACME Animation Factory","Probe Software","Sunsoft","PAL","March 1, 1995",1995-03-01,3,1995,"SNES","4th"
"19","Acrobat Mission","Micronics","Techiku","Japan","September 11, 1992",1992-09-11,9,1992,"SNES","4th"
"20","Action Pachio","Coconuts Japan","Coconuts Japan","Japan","April 9, 1993",1993-04-09,4,1993,"SNES","4th"
"21","ActRaiser","Quintet","Enix","Japan","December 16, 1990",1990-12-16,12,1990,"SNES","4th"
"22","ActRaiser","Quintet","Enix","North_America","November 1, 1991",1991-11-01,11,1991,"SNES","4th"
"23","ActRaiser","Quintet","Enix","PAL","March 18, 1993",1993-03-18,3,1993,"SNES","4th"
"24","ActRaiser 2 / ActRaiser 2: Chinmoku e no Seisen (JP)","Quintet","Enix","Japan","October 29, 1993",1993-10-29,10,1993,"SNES","4th"
"25","ActRaiser 2 / ActRaiser 2: Chinmoku e no Seisen (JP)","Quintet","Enix","North_America","November 16, 1993",1993-11-16,11,1993,"SNES","4th"
"26","ActRaiser 2 / ActRaiser 2: Chinmoku e no Seisen (JP)","Quintet","Enix","PAL","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"27","Addams Family Values","Ocean Software","Ocean Software","North_America","February 14, 1995",1995-02-14,2,1995,"SNES","4th"
"28","Addams Family Values","Ocean Software","Ocean Software","PAL","March 28, 1996",1996-03-28,3,1996,"SNES","4th"
"29","Adventures of Yogi Bear / Yogi Bear's Cartoon Capers (EU)","Empire Software","Cybersoft","Japan","January 3, 1995",1995-01-03,1,1995,"SNES","4th"
"30","Adventures of Yogi Bear / Yogi Bear's Cartoon Capers (EU)","Empire Software","Cybersoft","North_America","October 1, 1994",1994-10-01,10,1994,"SNES","4th"
"31","Adventures of Yogi Bear / Yogi Bear's Cartoon Capers (EU)","Empire Software","Cybersoft","PAL","November 24, 1994",1994-11-24,11,1994,"SNES","4th"
"32","Aero Fighters / Sonic Wings (JP)","Video System","Video System (JP) / MC O'River (NA)","Japan","July 30, 1993",1993-07-30,7,1993,"SNES","4th"
"33","Aero Fighters / Sonic Wings (JP)","Video System","Video System (JP) / MC O'River (NA)","North_America","November 1, 1994",1994-11-01,11,1994,"SNES","4th"
"34","Aero the Acro-Bat","Iguana Entertainment","Sunsoft","North_America","October 12, 1993",1993-10-12,10,1993,"SNES","4th"
"35","Aero the Acro-Bat","Iguana Entertainment","Sunsoft","PAL","November 1993",NA,11,1993,"SNES","4th"
"36","Aero the Acro-Bat 2","Iguana Entertainment","Sunsoft","North_America","November 1994",NA,11,1994,"SNES","4th"
"37","Aero the Acro-Bat 2","Iguana Entertainment","Sunsoft","PAL","August 1994",NA,8,1994,"SNES","4th"
"38","Aerobiz / Air Management: Oozora ni Kakeru (JP)","Koei","Koei","Japan","April 5, 1992",1992-04-05,4,1992,"SNES","4th"
